title,year,mileage,price,location,transmission,enginePower,color,model,engineCapacity,fuelType,painted,changed,paintedCount,changedCount
İlk elden kazasız servis garantili az kullanılmış acil,2021,78.000,1.375.000 TL,"Antalya, Manavgat",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
ÇAMKIRAN H2 GAZİEMİR'den2021 Honda Civic 1.5 T Eco Elegance,2021,28.515,1.579.000 TL,"İzmir, Gaziemir",Otomatik,129 hp,Kırmızı,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,Sağ Arka Çamurluk,,1,0
ÇAMKIRAN H2 GAZİEMİR'den2022 Honda Civic 1.5 T Eco Elegance,2022,43.065,1.599.000 TL,"İzmir, Gaziemir",Otomatik,129 hp,Mavi,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,"Sağ Arka Kapı; Sağ Ön Kapı",,2,0
BOYASIZ DEĞİŞENSİZ BAKIMLI 2022 HONDA CiViC ECO EXECUTiVE PLUS,2022,32.700,1.759.000 TL,"Konya, Karatay",Otomatik,129 hp,Füme,1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Elegance 2022 Model,2022,39.900,1.620.000 TL,"Ankara, Altındağ",Otomatik,129 hp,Gri (metalik),1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
OTOZER'DEN HATASIZ BOYASIZ DEĞİŞENSİZ 12 AY K.KARTI TAKS,2021,74.000,1.399.500 TL,"İstanbul, Ümraniye",Otomatik,176 - 200 HP,Mavi,1.5 i-VTEC Elegance,1401 - 1600 cm3,Benzin,,,0,0
2022-HONDA-CİVİC-1.5 VTEC-TURBO-182 HP-OTOMATİK-67.500KM,2022,67.500,1.415.000 TL,"Sivas, Merkez",Otomatik,176 - 200 HP,Kırmızı,1.5 i-VTEC Elegance,1401 - 1600 cm3,Benzin,Sağ Arka Çamurluk,Arka Kaput,1,1
Sahibinden Honda Civic 1.5 i-VTEC Eco Executive Plus 2023 Model,2023,29.000,1.860.000 TL,"Elazığ, Merkez",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,,0,0
İlk sahibinden Honda Civic Eco Executive Plus,2023,33.500,1.820.000 TL,"Gaziantep, Şehitkamil",Otomatik,129 hp,Gri (metalik),1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Premium 2021 Model 5464822128,2021,76.000,1.099.000 TL,"Batman, Merkez",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Premium,1498 cc,LPG & Benzin,"Sağ Arka Çamurluk; Sol Arka Çamurluk; Sağ Arka Kapı; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Sol Ön Çamurluk",Motor Kaputu,7,1
Sahibinden Honda Civic 1.5 i-VTEC Sport 2017 Model,2017,114.500,1.250.000 TL,"Ankara, Etimesgut",Otomatik,182 hp,Füme,1.5 i-VTEC Sport,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC RS 2018 Model Muğla 87.000 km Kırmızı,2018,87.000,1.425.000 TL,"Muğla, Fethiye",Otomatik,182 hp,Kırmızı,1.5 i-VTEC RS,1498 cc,Benzin,,,0,0
TR'TEK 2018 CİVİC HB 182 HP 32.000 KM BOYASIZ C.TVN/FUL Y.SERVİS,2018,32.000,1.699.000 TL,"Ankara, Pursaklar",Otomatik,182 hp,Kırmızı,1.5 i-VTEC Sport Plus,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Elegance 2021 Model  41.000 km Füme,2021,41.000,1.625.000 TL,"İstanbul, Kartal",Otomatik,129 hp,Füme,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
ÇAMKIRAN H2 GAZİEMİR'den2021 Honda Civic 1.5 T Exe PLUS OTM,2021,107.120,1.515.000 TL,"İzmir, Gaziemir",Otomatik,176 - 200 HP,Siyah,1.5 i-VTEC Executive Plus,1401 - 1600 cm3,Benzin,Sağ Arka Çamurluk,,1,0
ÇAMKIRAN H2 GAZİEMİR'den2021 Honda Civic 1.5 Vtec T Elegance OTM,2021,123.235,1.339.000 TL,"İzmir, Gaziemir",Otomatik,176 - 200 HP,Beyaz,1.5 i-VTEC Elegance,1401 - 1600 cm3,Benzin,Motor Kaputu,,1,0
ÇAMKIRAN H2 GAZİEMİR'den2021 Honda Civic 1.5 Vtec T Elegance OTM,2021,67.410,1.365.000 TL,"İzmir, Gaziemir",Otomatik,176 - 200 HP,Beyaz,1.5 i-VTEC Elegance,1401 - 1600 cm3,Benzin,"Sağ Arka Kapı; Motor Kaputu",,2,0
ÇAMKIRAN H2 GAZİEMİR'den2020 Honda Civic 1.5 T Exe Plus 182 HP,2020,156.520,1.325.000 TL,"İzmir, Gaziemir",Otomatik,176 - 200 HP,Beyaz,1.5 i-VTEC Executive Plus,1401 - 1600 cm3,Benzin,"Arka Kaput; Sol Ön Çamurluk",,2,0
2022 HONDA CİVİC 1.5 VTEC EXECUTİVE PLUS YETKİLİ SERVİS BAKIMLI,2022,56.000,1.665.000 TL,"Ankara, Altındağ",Otomatik,182 hp,Siyah,1.5 i-VTEC Executive Plus,1498 cc,Benzin,Sol Arka Çamurluk,,1,0
2021 HONDA CİVİC 1.5 VTEC EXECUTİVE PLUS YETKİLİ SERVİS BAKIMLI,2021,43.100,1.575.000 TL,"Ankara, Altındağ",Otomatik,182 hp,Beyaz,1.5 i-VTEC Executive Plus,1498 cc,Benzin,"Sol Arka Çamurluk; Sol Arka Kapı; Sol Ön Kapı; Sol Ön Çamurluk",,4,0
HATASIZ & SIFR AYARINDA & DÜŞÜK KM & KREDİ KARTINA 12 TAKSİT İMK,2024,6.150,1.870.000 TL,"İstanbul, Ataşehir",Otomatik,126 - 150 HP,Gri,1.5 i-VTEC Eco Elegance Plus,1401 - 1600 cm3,LPG & Benzin,,,0,0
ASLANOĞLU PLAZA'DAN 2022 HONDA CİVİC 1.5 ELEGANCE ISITMA LED F1,2022,50.000,1.599.000 TL,"Gaziantep, Şehitkamil",Otomatik,176 - 200 HP,Gri,1.5 i-VTEC Elegance,1401 - 1600 cm3,Benzin,,,0,0
Memurda servis bakımlı Honda Civic,2023,24.000,1.785.000 TL,"Adana, Çukurova",Otomatik,129 hp,Füme,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
MATUR DAN HONDA CİVİC 1.5 VTEC TURBO 180HP EXCUİVİTE PLUS 55.000,2021,55.000,1.325.000 TL,"Eskişehir, Odunpazarı",Otomatik,176 - 200 HP,Kırmızı,1.5 i-VTEC Executive Plus,1401 - 1600 cm3,Benzin,"Sağ Arka Kapı; Sol Ön Kapı","Motor Kaputu; Sol Ön Çamurluk",2,2
AVŞAR PLAZA'DAN ORJİNAL BOYASIZ H.KAYITSIZ KASIM ÇIKIŞ LPG HONDA,2022,68.000,1.584.950 TL,"Kocaeli, Gebze",Otomatik,129 hp,Füme,1.5 i-VTEC Eco Elegance,1498 cc,Benzin,,,0,0
HONDA CİVİC ECO ELEGANCE FAB.LPG-CAM TAVAN-K.ISITMA-12 AY VADE,2021,64.641,1.487.500 TL,"İstanbul, Kartal",Otomatik,129 hp,Gri,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,Sol Ön Kapı,Sol Arka Kapı,1,1
HONDA CIVIC 1.5 VTEC TURBO EXECUTİVE PLUS 2022 MODEL 182 HP,2022,15.000,1.775.000 TL,"Ankara, Yenimahalle",Otomatik,176 - 200 HP,Gri,1.5 i-VTEC Executive Plus,1401 - 1600 cm3,Benzin,,,0,0
2021 HONDA CİVİC ECO ELAGANCE SUNROOF HAYALET ISITMA 1.5VTEC,2021,81.000,1.625.000 TL,"Sakarya, Karasu",Otomatik,129 hp,Gri,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,"Motor Kaputu; Sol Ön Çamurluk",,2,0
ÇAMKIRAN H2 GAZİEMİR'den2021 Honda Civic 1.5 Vtec T Elegance OTM,2021,130.640,1.329.000 TL,"İzmir, Gaziemir",Otomatik,176 - 200 HP,Beyaz,1.5 i-VTEC Elegance,1401 - 1600 cm3,Benzin,"Sol Arka Kapı; Sol Ön Kapı",,2,0
||SAYGINLAR|| 1.5 VTEC RS |TURBO | 182 HP | SUNROOF | K. ISITMA,2017,208.000,929.000 TL,"Bursa, Osmangazi",Otomatik,182 hp,Siyah,1.5 i-VTEC RS,1498 cc,Benzin,"Sol Arka Çamurluk; Sağ Ön Çamurluk",Arka Kaput,2,1
2022 Honda Civic Hatasız Boyasız / Otosor 36Ay / K.Kartı 12ay,2022,45.000,1.785.000 TL,"İzmir, Karabağlar",Otomatik,182 hp,Bordo,1.5 i-VTEC Executive Plus,1498 cc,Benzin,,,0,0
KAMER DEN 2024 HONDA CİVİC 1.5VTEC ECO EXECUTİVE PLUS BENZİN-LPG,2024,10.358,1.924.000 TL,"Samsun, Tekkeköy",Otomatik,129 hp,Gri,1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,,0,0
BEYOND - 92.000 KM HATASIZ BOYASIZ TRAMERSİZ HONDA CİVİC SPORT,2017,92.000,1.249.900 TL,"İstanbul, Maltepe",Otomatik,182 hp,Beyaz,1.5 i-VTEC Sport,1498 cc,Benzin,,,0,0
BOYASIZ/ÖZELPLAKA/RS/SANROF/NAVİ/K.ISITMA/K.AYNA/XENON/CARPLAY,2018,153.000,1.279.000 TL,"Niğde, Bor",Otomatik,182 hp,Siyah,1.5 i-VTEC RS,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Sport 2017 Model,2017,140.750,1.200.000 TL,"İstanbul, Çekmeköy",Otomatik,182 hp,Kırmızı,1.5 i-VTEC Sport,1498 cc,Benzin,,Sol Ön Çamurluk,0,1
145.000 KM'de YETKİLİ SERVİS BAKIMLI 1.5 VTEC ECO ELEGANCE %20,2021,145.000,1.369.000 TL,"İstanbul, Bağcılar",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,"Sağ Ön Çamurluk; Sol Ön Çamurluk",,2,0
GEMİCİ'DEN 2021-Civic 1.5 VTEC Turbo Elegance CVT-HATASIZ-BOYASZ,2021,105.000,1.360.000 TL,"Düzce, Cumayeri",Otomatik,176 - 200 HP,Mavi,1.5 i-VTEC Elegance,1401 - 1600 cm3,Benzin,,,0,0
**SEÇKİN AUTO-2021-ECO PREMİUM-HATASIZ-BOYASIZ-ORJİNAL-62000KM**,2021,62.000,1.455.000 TL,"Aydın, Nazilli",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Premium,1498 cc,Benzin,,,0,0
OTOVİTRİNİN'DEN " 1.59 KREDİ ORANI - KREDİ KARTINA 12 AY TAKSİT",2021,70.000,1.392.950 TL,"İstanbul, Pendik",Otomatik,176 - 200 HP,Lacivert,1.5 i-VTEC Elegance,1401 - 1600 cm3,Benzin,Sol Arka Kapı,,1,0
Sahibinden Honda Civic 1.5 i-VTEC RS 2019 Model,2019,101.000,1.370.000 TL,"Gaziantep, Şahinbey",Otomatik,182 hp,Siyah,1.5 i-VTEC RS,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Elegance 2020 Model,2020,75.000,1.485.000 TL,"Trabzon, Ortahisar",Otomatik,182 hp,Füme,1.5 i-VTEC Elegance,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Elegance 2021 Model,2021,75.000,1.500.000 TL,"Sakarya, Serdivan",Otomatik,182 hp,Gri (Gümüş),1.5 i-VTEC Elegance,1498 cc,Benzin,,Arka Tampon,0,1
Sahibinden Honda Civic 1.5 i-VTEC Sport 2018 Model,2018,37.000,1.475.000 TL,"Kocaeli, İzmit",Otomatik,182 hp,Beyaz,1.5 i-VTEC Sport,1498 cc,Benzin,,,0,0
CİVİC ECO ELEGANCE FAB.LPG-BOYASIZ-CAM TAVAN-K.ISITMA-12 AY VADE,2021,51.913,1.525.000 TL,"İstanbul, Kartal",Otomatik,129 hp,Gri,1.5 i-VTEC Eco Elegance,1498 cc,Benzin,,,0,0
760BİN TL 24AY VADE/KREDİ İMKANIYLA 1.5 VTEC SPORT CİVİC,2017,134.000,1.179.500 TL,"İstanbul, Beylikdüzü",Otomatik,182 hp,Füme,1.5 i-VTEC Sport,1498 cc,Benzin,"Arka Kaput; Sol Arka Kapı; Sol Ön Kapı",,3,0
2021 35.000 KM -- BOYASIZ -- HASAR KAYITLI DOLULAR DOLUSU,2021,35.000,1.450.000 TL,"Hatay, Defne",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,,0,0
2023 HONDA CİVİC 1.5 ELEGANCE 182 PS BOYASIZ HATASIZ,2023,60.420,1.635.000 TL,"Bursa, Yıldırım",Otomatik,182 hp,Siyah,1.5 i-VTEC Elegance,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC RS 2017 Model,2017,60.000,1.435.000 TL,"Ankara, Çankaya",Otomatik,182 hp,Kırmızı,1.5 i-VTEC RS,1498 cc,Benzin,,Arka Tampon,0,1
Sahibinden Honda Civic 1.5 i-VTEC Eco Elegance 2022 Model,2022,55.000,1.565.000 TL,"Mardin, Midyat",Otomatik,129 hp,Füme,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
Ağır hasar kayıtlı Honda Civic 1.5 i-VTEC Elegance 2020 Model,2020,43.000,1.150.000 TL,"Bilecik, Merkez",Düz,182 hp,Mavi,1.5 i-VTEC Elegance,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Executive Plus 2020 Model,2020,43.000,1.525.000 TL,"Bitlis, Ahlat",Otomatik,182 hp,Beyaz,1.5 i-VTEC Executive Plus,1498 cc,Benzin,,,0,0
2022 ÇIKŞ HONDA ECO ELEGANCE 63 BİN SUNROF+HAYALT+ISTMA+KEYLESGO,2021,63.000,1.369.950 TL,"İstanbul, Bağcılar",Otomatik,129 hp,Kırmızı,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,"Sol Arka Çamurluk; Sağ Arka Kapı; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk",,5,0
Honda Civic 1.5 i-VTEC Eco Premium 2022 Model,2022,43.000,1.500.000 TL,"İzmir, Gaziemir",Otomatik,129 hp,Füme,1.5 i-VTEC Eco Premium,1498 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Elegance 2020 Model,2020,45.000,1.500.000 TL,"İstanbul, Avcılar",Otomatik,182 hp,Beyaz,1.5 i-VTEC Elegance,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC RS 2018 Model Bursa 75.000 km Kırmızı,2018,75.392,1.360.000 TL,"Bursa, Nilüfer",Otomatik,182 hp,Kırmızı,1.5 i-VTEC RS,1498 cc,Benzin,,"Ön Tampon; Arka Tampon",0,2
Sahibinden Honda Civic 1.5 i-VTEC Eco Elegance 2021 Model,2021,12.000,1.655.000 TL,"İstanbul, Eyüpsultan",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,Sol Arka Kapı,0,1
Sahibinden Honda Civic 1.5 i-VTEC Elegance 2021 Model,2021,40.700,1.650.000 TL,"İstanbul, Sancaktepe",Otomatik,182 hp,Kırmızı,1.5 i-VTEC Elegance,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Elegance 2022 Model,2022,95.000,1.650.000 TL,"Adana, Yüreğir",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Elegance,1498 cc,Benzin,Sağ Arka Kapı,,1,0
Memurdan Boyasız Tramersiz,2022,35.000,1.705.000 TL,"Ankara, Gölbaşı",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Executive Plus 2023 Model,2023,7.300,1.890.000 TL,"Ordu, Altınordu",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,,0,0
ÜMİT AUTO/CİVİC/BOYASIZ/ELEGANCE/39.000*KM/182HP/,2023,39.000,1.775.000 TL,"Gaziantep, Şahinbey",Otomatik,182 hp,Beyaz,1.5 i-VTEC Elegance,1498 cc,Benzin,,,0,0
İlk Sahibinden Honda Civic 1.5 i-VTEC Elegance 2020 Model,2020,67.000,1.300.000 TL,"Kayseri, Melikgazi",Otomatik,182 hp,Füme,1.5 i-VTEC Elegance,1498 cc,Benzin,Ön Tampon,,1,0
Satılmak üzere ilk gelene 630 dan vericem 2023 çıkışlı degisensiz boyasiz yer uçagi esktrali,2022,50.000,1.640.000 TL,"Yalova, Çiftlikköy",Otomatik,182 hp,Gri (Gümüş),1.5 i-VTEC Elegance,1498 cc,Benzin,,,0,0
Civic 1.5 i-VTEC RS 2017,2017,104.000,1.325.000 TL,"Erzurum, Aziziye",Otomatik,182 hp,Siyah,1.5 i-VTEC RS,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Executive Plus 2022 Model,2022,50.000,1.690.000 TL,"İstanbul, Kartal",Otomatik,129 hp,Bordo,1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC RS 2017 Model,2017,92.000,990.000 TL,"Ankara, Çankaya",Otomatik,182 hp,Beyaz,1.5 i-VTEC RS,1498 cc,Benzin,"Sağ Ön Kapı; Motor Kaputu",Sağ Ön Çamurluk,2,1
Sahibinden Honda Civic 1.5 i-VTEC Executive Plus 2020 Model PAZARLIKSIZ SON FİYAT,2020,75.000,1.530.000 TL,"Rize, Merkez",Otomatik,182 hp,Mavi,1.5 i-VTEC Executive Plus,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC RS 2017 Model,2017,125.000,1.175.000 TL,"İstanbul, Esenyurt",Otomatik,182 hp,Kırmızı,1.5 i-VTEC RS,1498 cc,Benzin,Arka Kaput,"Sağ Ön Çamurluk; Motor Kaputu",1,2
HATASIZ HONDA ECO ELEGANCE PLUS,2024,11.250,1.915.000 TL,"Antalya, Serik",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC RS   2017 Model,2017,222.000,1.300.000 TL,"Diyarbakır, Kayapınar",Otomatik,182 hp,Beyaz,1.5 i-VTEC RS,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Premium 2022 Model,2022,47.700,1.440.000 TL,"İstanbul, Eyüpsultan",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Premium,1498 cc,LPG & Benzin,Sağ Ön Kapı,Sağ Ön Çamurluk,1,1
Sahibinden Honda Civic 1.5 i-VTEC Sport Plus 2018 Model,2018,85.000,1.450.000 TL,"İzmir, Menemen",Otomatik,182 hp,Füme,1.5 i-VTEC Sport Plus,1498 cc,Benzin,,,0,0
Boyasız Değişensiz 182 Beygir Sport Plus  2019 Çıkışlı,2018,152.900,1.395.000 TL,"Ankara, Yenimahalle",Otomatik,182 hp,Beyaz,1.5 i-VTEC Sport Plus,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Executive Plus 2022 Model,2022,21.400,1.795.000 TL,"İstanbul, Kartal",Otomatik,129 hp,Mavi (metalik),1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,,0,0
Öğretmenden lansman rengi,2022,23.000,1.835.000 TL,"Kayseri, Melikgazi",Otomatik,129 hp,Mavi (metalik),1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,Ön Tampon,0,1
MEMURDAN HATASIZ BOYASIZ TRAMERSİZ,2023,29.000,1.715.000 TL,"Osmaniye, Kadirli",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
Kamu Personelinden 2022 Model Honda Civic 1.5 i-VTEC Eco Executive Plus Hatasız Boyasız,2022,31.000,1.805.000 TL,"Erzincan, Tercan",Otomatik,129 hp,Siyah,1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,,0,0
Sahibinden FULL+FULL Honda Civic 1.5 i-VTEC Eco Executive Plus 2022 Model,2022,91.220,1.450.000 TL,"İstanbul, Ümraniye",Otomatik,129 hp,Siyah,1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,"Sol Ön Kapı; Sağ Ön Çamurluk; Sol Ön Çamurluk",0,3
Sahibinden Honda Civic 1.5 i-VTEC Eco Elegance 2022 Model,2022,41.000,1.659.000 TL,"Kayseri, Melikgazi",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Elegance Plus 2024 Model 2025 MART TRAFIGE CIKISLI SIFIR AYARINDA  CIZIKSIZ HATASIZ TRAMERSIZ SANRUFLU,2024,6.001,1.850.000 TL,"Ankara, Etimesgut",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Elegance Plus,1498 cc,LPG & Benzin,,,0,0
Hatasız-EKSTRALI,2022,59.500,1.500.000 TL,"Ankara, Çankaya",Otomatik,129 hp,Füme,1.5 i-VTEC Eco Premium,1498 cc,LPG & Benzin,,,0,0
Sahibinden Boyasız Honda Civic 1.5 i-VTEC Eco Executive Plus 2021,2021,99.000,1.630.000 TL,"Düzce, Gümüşova",Otomatik,129 hp,Füme,1.5 i-VTEC Eco Executive Plus,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Executive Plus 2021 Model,2021,52.000,1.717.000 TL,"Kocaeli, Kartepe",Otomatik,182 hp,Kırmızı,1.5 i-VTEC Executive Plus,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Executive Plus 2021 Model,2021,73.000,1.625.000 TL,"Ankara, Keçiören",Otomatik,129 hp,Mavi (metalik),1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Elegance 2021 Model,2021,52.000,1.480.000 TL,"İzmir, Menemen",Otomatik,129 hp,Mavi (metalik),1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,Sol Ön Kapı,0,1
Sahibinden Honda Civic 1.5 i-VTEC Sport 2018 Model,2018,95.000,1.268.000 TL,"Aydın, Didim",Otomatik,182 hp,Kırmızı,1.5 i-VTEC Sport,1498 cc,Benzin,Sol Ön Çamurluk,,1,0
Honda Civic 1.5 i-VTEC Eco Elegance Plus 2024 Model,2024,15.000,1.915.000 TL,"Burdur, Merkez",Otomatik,129 hp,Füme,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Elegance 2022 Model,2022,73.000,1.499.000 TL,"İstanbul, Sancaktepe",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
HATASIZ TEMİZ CİVİC BİNİCİYE GİDER,2021,62.500,1.620.000 TL,"Diyarbakır, Ergani",Otomatik,182 hp,Mavi,1.5 i-VTEC Executive Plus,1498 cc,Benzin,,,0,0
SAHİBİNDEN TRAMERSİZ HONDA CİVİC RS 94000 KMDE KIRMIZI BAKIMLI,2017,94.200,1.120.000 TL,"Denizli, Merkezefendi",Otomatik,182 hp,Kırmızı,1.5 i-VTEC RS,1498 cc,Benzin,"Sağ Arka Çamurluk; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk","Sağ Arka Kapı; Sağ Ön Kapı",5,2
Sahibinden Honda Civic 1.5 i-VTEC Eco Elegance 2022 Model,2022,47.000,1.560.000 TL,"Balıkesir, Burhaniye",Otomatik,129 hp,Siyah,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
"HATASIZ, BOYASIZ, TRAMERSİZ",2018,144.000,1.330.000 TL,"Ankara, Çankaya",Otomatik,182 hp,Füme,1.5 i-VTEC Sport Plus,1498 cc,Benzin,,,0,0
SÜRMENE OTOMOTİV'DEN HATASIZ+Ş.TAKİP+ÇARP. ÖNLEYİCİ+DERİ+ISITMA,2023,65.000,1.719.900 TL,"İstanbul, Bağcılar",Otomatik,182 hp,Siyah,1.5 i-VTEC Executive Plus,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Executive Plus 2021 Model,2021,69.500,1.535.000 TL,"Gaziantep, Şahinbey",Otomatik,182 hp,Beyaz,1.5 i-VTEC Executive Plus,1498 cc,Benzin,"Arka Kaput; Motor Kaputu",,2,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Elegance 2022 Model,2022,40.000,1.650.000 TL,"Bartın, Merkez",Otomatik,129 hp,Füme,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
2017 CIVIC RS 182 HP,2017,104.000,1.225.000 TL,"İzmir, Karabağlar",Otomatik,182 hp,Siyah,1.5 i-VTEC RS,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Executive Plus 2023 Model,2023,58.250,1.770.000 TL,"Muş, Merkez",Otomatik,129 hp,Beyaz,1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Sport Plus 2020 Model Çanakkale,2020,21.000,1.090.000 TL,"İstanbul, Eyüpsultan",Otomatik,182 hp,Beyaz,1.5 i-VTEC Sport Plus,1498 cc,Benzin,,"Motor Kaputu; Sol Ön Çamurluk",0,2
Sahibinden Honda Civic 1.5 i-VTEC Sport Garaj Arabası fiyat düştüüü,2017,141.000,950.000 TL,"Konya, Selçuklu",Otomatik,182 hp,Kırmızı,1.5 i-VTEC Sport,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC RS 2018 Model,2018,91.000,1.410.000 TL,"İzmir, Menderes",Otomatik,182 hp,Kırmızı,1.5 i-VTEC RS,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Executive Plus 2023 Model,2023,24.300,1.825.000 TL,"Bursa, Nilüfer",Otomatik,129 hp,Kırmızı,1.5 i-VTEC Eco Executive Plus,1498 cc,LPG & Benzin,,,0,0
SIFIR KONDİSYON EMSALSİZ CİVİC RS 182 HP,2018,23.500,1.519.750 TL,"Ankara, Mamak",Otomatik,182 hp,Beyaz,1.5 i-VTEC RS,1498 cc,Benzin,,,0,0
"İlk Sahibinden Honda Civic 1.5  182 Beygir VTEC Executive Plus, Servis Bakım ve Aksesuarlı",2019,90.050,1.590.000 TL,"Konya, Meram",Otomatik,182 hp,Beyaz,1.5 i-VTEC Executive Plus,1498 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC Eco Elegance 2021 Model,2021,50.000,1.575.000 TL,"İstanbul, Üsküdar",Otomatik,129 hp,Siyah,1.5 i-VTEC Eco Elegance,1498 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.5 i-VTEC RS 2019 Model,2019,118.000,1.390.000 TL,"Bilecik, Bozüyük",Otomatik,182 hp,Kırmızı,1.5 i-VTEC RS,1498 cc,Benzin,,,0,0
