title,year,mileage,price,location,transmission,enginePower,color,model,engineCapacity,fuelType,painted,changed,paintedCount,changedCount
Sahibinden Honda Civic 1.4 1.4i 1997 Model,1997,321.500,195.000 TL,"Bursa, Yıldırım",Düz,90 hp,Kırmızı,1.4 1.4i,1396 cc,LPG & Benzin,,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Motor Kaputu; Ön Tampon; Arka Tampon",0,6
Sahibinden Honda Civic 1.4 i S 1997 Model,1997,280.000,335.000 TL,"Kocaeli, Gölcük",Otomatik,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,,"Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk",0,3
Galeriden Honda Civic 1.4 1.4i 1991 Model Adana,1991,364.000,190.000 TL,"Adana, Seyhan",Düz,90 hp,Gri (metalik),1.4 1.4i,1396 cc,LPG & Benzin,,,0,0
Klimalı Düşük KM Tertemiz Civic,1998,266.000,325.000 TL,"İstanbul, Bahçelievler",Düz,90 hp,Yeşil (metalik),1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk; Ön Tampon; Arka Tampon",,13,0
Son günler,1999,280.000,380.000 TL,"Bursa, Yıldırım",Düz,90 hp,Siyah,1.4 S,1396 cc,Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk; Ön Tampon; Arka Tampon",,13,0
Sahibinden Honda Civic 1.4 i S 2001 Model,2001,261.000,310.000 TL,"Ankara, Keçiören",Otomatik,90 hp,Gri (Gümüş),1.4 i S,1396 cc,LPG & Benzin,,,0,0
SUNROOFLU Honda Civic EF,1990,243.000,175.000 TL,"Burdur, Merkez",Düz,90 hp,Beyaz,1.4 L,1396 cc,LPG & Benzin,,,0,0
HONDA CİVİC 1.4i S OTOMATİK / SUNROOF 268.000'KM...,1998,268.000,375.000 TL,"Bursa, Nilüfer",Otomatik,101 - 125 HP,Mavi,1.4 i S,1401 - 1600 cm3,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Ön Kapı; Tavan; Sağ Ön Çamurluk; Motor Kaputu","Sol Ön Kapı; Sol Ön Çamurluk",7,2
YÜRÜR MOTOR TERTEMİZ,1997,311.000,320.000 TL,"Niğde, Merkez",Otomatik,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,,,0,0
NİTRO MOTORS-2010 144.000KM 4 PARÇA BOYALI CİVİC 1.4 SPORT OTMTK,2010,144.000,675.000 TL,"Ankara, Akyurt",Otomatik,76 - 100 HP,Gri,1.4 Sport,1201 - 1400 cm3,Benzin,"Sağ Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sağ Ön Çamurluk",,4,0
K.KARTİ GEÇERLİ-CİVİC-KLİMALI-,1997,295.000,340.000 TL,"Tekirdağ, Süleymanpaşa",Otomatik,76 - 100 HP,Yeşil,1.4 i S,1401 - 1600 cm3,LPG & Benzin,,,0,0
HONDA CIVIC KLİMALI 96 MODEL,1996,305.000,255.000 TL,"Aydın, Efeler",Düz,90 hp,Gri,1.4 LS,1395 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 1999 Model,1999,360.000,410.000 TL,"Bursa, Yıldırım",Düz,90 hp,Beyaz,1.4 i S,1396 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 1999 Model,1999,347.000,380.000 TL,"Tekirdağ, Çorlu",Düz,90 hp,Lacivert,1.4 i S,1396 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.4 L 1990 Model,1990,170.000,150.000 TL,"Konya, Akşehir",Düz,90 hp,Mavi,1.4 L,1396 cc,LPG & Benzin,,,0,0
1996 HONDA CİVİC 1.4 SANRUF ÇİFT AİRBAG LPG KK TAKSİT,1996,345.000,217.500 TL,"İstanbul, Ümraniye",Düz,90 hp,Füme,1.4 i S,1396 cc,LPG & Benzin,,,0,0
*HONDA CİVİC* EMSALSİZ KUSURSUZ -CAM PAKET- KREDİ KARTINA TAKSİT,1999,343.000,365.000 TL,"Kütahya, Merkez",Otomatik,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,,"Sağ Ön Çamurluk; Motor Kaputu",0,2
_TOYS CAR_HONDA_CİVİC_1.4_SPORT_İ-SHİFT_,2012,191.000,625.000 TL,"İstanbul, Ataşehir",Otomatik,76 - 100 HP,Füme,1.4 Sport,1201 - 1400 cm3,Benzin,,,0,0
Sahibinden Değişensiz Honda Civic 1.4 i S 1999 Model,1999,370.000,400.000 TL,"Tekirdağ, Malkara",Düz,90 hp,Gri (Gümüş),1.4 i S,1396 cc,LPG & Benzin,,,0,0
